gene	pearson_correlation	pearson_pvalue	n_perturbed_cells	method
SSRP1	0.237269	0.0	562	STATE_ST-HVG-Parse
PRIM1	0.119369	8.59e-08	181	STATE_ST-HVG-Parse
CWF19L2	0.153448	0.0	194	STATE_ST-HVG-Parse
SOD1	0.054483	0.0148156695	165	STATE_ST-HVG-Parse
MRPS9	0.00494	0.8252449036	76	STATE_ST-HVG-Parse
NDUFB4	-0.004101	0.8545620441	166	STATE_ST-HVG-Parse
YPEL1	-0.025099	0.2618864775	72	STATE_ST-HVG-Parse
SON	0.243527	0.0	515	STATE_ST-HVG-Parse
SEH1L	0.126979	1.21e-08	60	STATE_ST-HVG-Parse
BGLAP	0.296883	0.0	236	STATE_ST-HVG-Parse
RNF123	-0.081737	0.0002529527	111	STATE_ST-HVG-Parse
TCERG1	0.024601	0.271472156	105	STATE_ST-HVG-Parse
PSMD7	0.202238	0.0	373	STATE_ST-HVG-Parse
ELP2	-0.056336	0.0117411735	189	STATE_ST-HVG-Parse
UTP15	0.26575	0.0	152	STATE_ST-HVG-Parse
MCM2	0.064982	0.0036451421	123	STATE_ST-HVG-Parse
DDX23	0.14806	0.0	159	STATE_ST-HVG-Parse
SUGT1	-0.050624	0.0235747527	107	STATE_ST-HVG-Parse
PAXBP1	0.094331	2.38541e-05	129	STATE_ST-HVG-Parse
METTL1	2e-06	0.9999277592	208	STATE_ST-HVG-Parse
BDP1	0.230139	0.0	331	STATE_ST-HVG-Parse
CENPE	0.197084	0.0	177	STATE_ST-HVG-Parse
MZT1	0.034039	0.128070429	455	STATE_ST-HVG-Parse
LSM7	0.147936	0.0	140	STATE_ST-HVG-Parse
NRDE2	0.113232	3.833e-07	504	STATE_ST-HVG-Parse
ABHD11	-0.005884	0.7925614715	49	STATE_ST-HVG-Parse
GUCD1	0.23294	0.0	279	STATE_ST-HVG-Parse
PYROXD1	-0.02663	0.2338961512	100	STATE_ST-HVG-Parse
NFRKB	0.126424	1.4e-08	228	STATE_ST-HVG-Parse
COPA	0.19302	0.0	243	STATE_ST-HVG-Parse
SRPRB	0.081845	0.0002482483	164	STATE_ST-HVG-Parse
RPS14	0.30359	0.0	181	STATE_ST-HVG-Parse
RPL17	0.280921	0.0	149	STATE_ST-HVG-Parse
FIP1L1	0.125341	1.86e-08	21	STATE_ST-HVG-Parse
SETD2	-0.022559	0.3132697642	109	STATE_ST-HVG-Parse
RFT1	0.061554	0.0058928826	121	STATE_ST-HVG-Parse
LSM6	0.193243	0.0	461	STATE_ST-HVG-Parse
SLC25A10	0.087019	9.75659e-05	303	STATE_ST-HVG-Parse
RTCB	-0.003762	0.8664667606	171	STATE_ST-HVG-Parse
CS	-0.040494	0.0702104941	222	STATE_ST-HVG-Parse
WDR25	0.027565	0.2178714573	159	STATE_ST-HVG-Parse
RPS11	0.329221	0.0	268	STATE_ST-HVG-Parse
RPL21	0.266241	0.0	262	STATE_ST-HVG-Parse
BTF3L4	0.006098	0.7852116823	141	STATE_ST-HVG-Parse
PHAX	0.148506	0.0	412	STATE_ST-HVG-Parse
UQCC2	0.052076	0.0198567472	101	STATE_ST-HVG-Parse
LSM2	0.197731	0.0	357	STATE_ST-HVG-Parse
ATP6V1A	0.066147	0.0030804803	96	STATE_ST-HVG-Parse
NXF1	0.033459	0.134698227	251	STATE_ST-HVG-Parse
SNRPG	0.254878	0.0	402	STATE_ST-HVG-Parse
EXOC1	-0.022481	0.3149582744	182	STATE_ST-HVG-Parse
RPS28	0.312749	0.0	309	STATE_ST-HVG-Parse
NUP214	-0.002741	0.9024915099	132	STATE_ST-HVG-Parse
PRPF6	0.228002	0.0	232	STATE_ST-HVG-Parse
NCOA4	0.009357	0.6758095026	134	STATE_ST-HVG-Parse
CNN2	-0.105654	2.1874e-06	197	STATE_ST-HVG-Parse
DPH1	-0.014085	0.5290024281	335	STATE_ST-HVG-Parse
BPTF	0.073723	0.0009688847	56	STATE_ST-HVG-Parse
MZF1	0.015846	0.4787825346	128	STATE_ST-HVG-Parse
TMEM240	-0.115961	1.99e-07	176	STATE_ST-HVG-Parse
STAT5A	0.09124	4.38196e-05	204	STATE_ST-HVG-Parse
FOXL2	-0.008784	0.6946054101	164	STATE_ST-HVG-Parse
MKRN1	0.007438	0.7395713925	160	STATE_ST-HVG-Parse
MRPL38	0.021323	0.3405426741	155	STATE_ST-HVG-Parse
UBE2N	0.023228	0.2991344929	174	STATE_ST-HVG-Parse
AAAS	0.030537	0.1722200066	212	STATE_ST-HVG-Parse
HIST1H2AB	-0.013932	0.5334898829	97	STATE_ST-HVG-Parse
ZNHIT2	0.106089	1.9853e-06	96	STATE_ST-HVG-Parse
STARD7	0.0555	0.0130499285	117	STATE_ST-HVG-Parse
NBPF12	-0.093523	2.80156e-05	150	STATE_ST-HVG-Parse
IARS2	0.161483	0.0	216	STATE_ST-HVG-Parse
MED7	0.278348	0.0	272	STATE_ST-HVG-Parse
TUBGCP5	0.019911	0.3734876513	72	STATE_ST-HVG-Parse
UBE2H	0.041864	0.0612265095	194	STATE_ST-HVG-Parse
LRRC37A3	-0.096769	1.45693e-05	114	STATE_ST-HVG-Parse
CDK1	0.198975	0.0	347	STATE_ST-HVG-Parse
ZNF763	0.011366	0.6114444137	148	STATE_ST-HVG-Parse
DNAJC9	-0.031618	0.1575177908	84	STATE_ST-HVG-Parse
GTF2H1	0.256554	0.0	434	STATE_ST-HVG-Parse
GAB2	0.094583	2.26807e-05	674	STATE_ST-HVG-Parse
MAGOH	0.109158	9.917e-07	242	STATE_ST-HVG-Parse
CHEK1	0.072933	0.0010986513	295	STATE_ST-HVG-Parse
RTTN	0.017668	0.4297062755	125	STATE_ST-HVG-Parse
KRTAP4-7	0.037708	0.091819115	168	STATE_ST-HVG-Parse
NSRP1	0.254868	0.0	237	STATE_ST-HVG-Parse
DNTTIP2	0.33789	0.0	264	STATE_ST-HVG-Parse
RPP40	0.255813	0.0	78	STATE_ST-HVG-Parse
RAB6A	0.077585	0.0005150714	59	STATE_ST-HVG-Parse
OR4F4	0.042104	0.0597566739	66	STATE_ST-HVG-Parse
COX5B	0.027237	0.2234018892	118	STATE_ST-HVG-Parse
EIF2B2	0.188078	0.0	319	STATE_ST-HVG-Parse
COPS4	0.020045	0.3702596426	262	STATE_ST-HVG-Parse
GCOM1	-0.049165	0.0279002208	62	STATE_ST-HVG-Parse
INTS9	0.186811	0.0	229	STATE_ST-HVG-Parse
BCR	0.148263	0.0	561	STATE_ST-HVG-Parse
NOL11	0.259751	0.0	271	STATE_ST-HVG-Parse
EIF3H	0.09795	1.14251e-05	369	STATE_ST-HVG-Parse
U2AF1	0.163177	0.0	141	STATE_ST-HVG-Parse
DDX11	-0.033884	0.1298145354	128	STATE_ST-HVG-Parse
MYCBP	0.018013	0.4207522273	208	STATE_ST-HVG-Parse
NOL6	0.296703	0.0	114	STATE_ST-HVG-Parse
PRPF4	0.260885	0.0	117	STATE_ST-HVG-Parse
SF3A2	0.133804	1.9e-09	321	STATE_ST-HVG-Parse
TXN	0.114211	3.035e-07	94	STATE_ST-HVG-Parse
CSNK1A1	0.081106	0.0002824644	172	STATE_ST-HVG-Parse
COPG1	-0.051054	0.0224147066	261	STATE_ST-HVG-Parse
PPP2R1A	0.057608	0.0099710245	455	STATE_ST-HVG-Parse
DDX6	0.203068	0.0	76	STATE_ST-HVG-Parse
DDX47	0.329652	0.0	313	STATE_ST-HVG-Parse
MRPL10	0.029638	0.1851988882	102	STATE_ST-HVG-Parse
ORC5	-0.012144	0.5872808695	89	STATE_ST-HVG-Parse
CLP1	0.089728	5.86027e-05	55	STATE_ST-HVG-Parse
CDIPT	0.010874	0.6269587278	247	STATE_ST-HVG-Parse
FBL	0.302193	0.0	132	STATE_ST-HVG-Parse
ZNF468	-0.085655	0.0001254332	207	STATE_ST-HVG-Parse
CDC27	0.227427	0.0	366	STATE_ST-HVG-Parse
HNRNPR	-0.027355	0.2213915884	149	STATE_ST-HVG-Parse
DHFR	-0.056168	0.0119936457	125	STATE_ST-HVG-Parse
MCM7	0.0845	0.0001547198	160	STATE_ST-HVG-Parse
DDX49	0.14871	0.0	45	STATE_ST-HVG-Parse
KRTAP4-2	0.015817	0.4795935154	132	STATE_ST-HVG-Parse
HIST1H2BM	0.053778	0.0161600504	156	STATE_ST-HVG-Parse
SMN2	0.180332	0.0	319	STATE_ST-HVG-Parse
MOG	-0.006992	0.7546449304	124	STATE_ST-HVG-Parse
ACTR1B	-0.102786	4.1041e-06	206	STATE_ST-HVG-Parse
CCND1	0.041675	0.0624074526	146	STATE_ST-HVG-Parse
WDR61	0.008665	0.698541522	108	STATE_ST-HVG-Parse
MRPL1	-0.032177	0.1503005326	165	STATE_ST-HVG-Parse
ANKRD11	-0.20739	0.0	260	STATE_ST-HVG-Parse
